,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GEG,0,11
2,1874,GEG,0,21
3,1875,GEG,0,14
4,1876,GEG,0,11
5,1877,GEG,0,14
6,1878,GEG,0,19
7,1879,GEG,0,44
8,1880,GEG,0,27
9,1881,GEG,0,44
10,1882,GEG,0,53
11,1883,GEG,0,34
12,1884,GEG,0,53
13,1885,GEG,0,29
14,1886,GEG,0,38
15,1887,GEG,0,23
16,1888,GEG,0,29
17,1889,GEG,0,30
18,1890,GEG,0,11
19,1891,GEG,0,20
20,1892,GEG,0,23
21,1893,GEG,0,19
22,1894,GEG,0,21
23,1895,GEG,0,17
24,1896,GEG,0,46
25,1897,GEG,0,14
26,1898,GEG,0,19
27,1899,GEG,0,32
28,1900,GEG,0,18
29,1901,GEG,0,14
30,1902,GEG,0,55
31,1903,GEG,0,66
32,1904,GEG,0,4
33,1905,GEG,0,5
34,1906,GEG,0,12
35,1907,GEG,0,32
36,1908,GEG,0,31
37,1909,GEG,0,20
38,1910,GEG,0,55
39,1911,GEG,0,5
40,1912-1922,GEG,0,48
