,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1906,GEG,HM,HL,,1," Dr. J. R. A s p 1 i n, Professor und Staats-Archäolog in Hel-singfors (1887). 
"
2,1906,GEG,HM,HL,,2," Dr. August Bielenstein, Pastor em. in Mitau (1887). 
"
3,1906,GEG,HM,HL,,3," Woldemar Graf von dem Broel-Plater auf Dombrowitza in Wolhynien (1876). 
"
4,1906,GEG,HM,HL,,4,"  Baron Hermann v. Bruiningk in Riga (1887). 
"
5,1906,GEG,HM,HL,,5," Dr. Richard Hausmann, Prof. emer. in Dorpat (1871, resp. 1896). 
"
6,1906,GEG,HM,HL,,6," t Dr. Jakob Hurt, Pastor in St. Petersburg (1887). 
"
7,1906,GEG,HM,HL,,7," Dr. Georg Alexander, Herzog zuMecklenburg-Stre-litz, in St. Petersburg (1888). 
"
8,1906,GEG,HM,HL,,8," Dr. Friedrich Baron Meyendorff, Livländischer Landmar­schall in Riga (1887). 
"
9,1906,GEG,HM,HL,,9," Rudolph von Raison, Pastor emer. in Sperlingshof bei Illuxt, Kurland (1887). 
"
10,1906,GEG,HM,HL,,10," Wirkl. Staatsrat Iwan Sabjelin, Direktor des Moskauer Museums (1887). 
"
11,1906,GEG,HM,HL,,11," Andrei Alexandro witsch Ssaburow, Staatssekretär und Se-nateur, Mitglied des Reichsrats, in St. Petersburg (1876). 
"
12,1906,GEG,HM,HL,,12," Iwan Iwanowitsch Graf Tolstoi, Vice-Präsident der Akade­mie der Künste, in St. Petersburg (1882). 
"
13,1906,GEG,HM,HL,,13," Gräfin Prasskowja Sergejewna Uwarowa, Präsidentin der Moskauer Archäologischen Gesellschaft (1887). XXVIII 
"
14,1906,GEG,HM,AB,,14," Dr. Adalbert Bezzenberger, Prof. in Königsberg (1894). 
"
15,1906,GEG,HM,AB,,15," Dr. Georg Loesehcke, Prof. in Bonn (1899). 
"
16,1906,GEG,HM,AB,,16," Dr. Leo Meyer, Prof. honor, in Göttingen (1866 resp. 1894). 
"
17,1906,GEG,HM,AB,,17," Dr. Carl Schirren, Prof in Kiel (1869). 
"
18,1906,GEG,HM,AB,,18," Dr. Leopold v. Sehr oeder, Prof. in Wien (1894). 
"
19,1906,GEG,HM,AB,,19," Dr. Ludwig S tie da, Prof. in Königsberg (1885). 
"
20,1906,GEG,HM,AB,,20," Dr. Wilhelm Thomson, Prof. in Kopenhagen (1887). 
"
21,1906,GEG,CM,HL,,1," Friedrich Amelung in Riga (1887). 
"
22,1906,GEG,CM,HL,,2," Dr. Hjalmar A p p e 1 g r e""n, Conservator des Archäologischen Museums in Helsingfors (1901). 
"
23,1906,GEG,CM,HL,,3," Dr. Eduard Berendts, Rector des Demidow-Lyceums in Jaroslaw (1899). 
"
24,1906,GEG,CM,HL,,4," Gottlieb v. Blanckenhagen auf Weissenstein bei Wenden (1889). 
"
25,1906,GEG,CM,HL,,5," Frau Elisabeth v. Blanckenhagen, geb. Baronesse Maydell, zu Allasch (1889). 
"
26,1906,GEG,CM,HL,,6," Dr. med. Max Buch in Wilmanstrand (1882). 
"
27,1906,GEG,CM,HL,,7," Titus Christiani, Schul-Inspector in Goldingen (1886, resp. 1903). 
"
28,1906,GEG,CM,HL,,8," Oberlehrer H. Diederichs in Mitau (1901). 
"
29,1906,GEG,CM,HL,,9," W. Dolbeschew, Oberlehrer in Wladikawkas (1885). 
"
30,1906,GEG,CM,HL,,10," Dr. 0. Donner, Prof. in Helsingfors (1865). 
"
31,1906,GEG,CM,HL,,11," Dr. Wladislaw Dybowsky in Minsk (1879). 
"
32,1906,GEG,CM,HL,,12," Konrad v. Gersdorff auf Hochrosen (1889). 
"
33,1906,GEG,CM,HL,,13," Christian Giel, Conservator der Eremitage in St. Petersburg (1886). 
"
34,1906,GEG,CM,HL,,14," Dr. Reinhold Hausen in Helsingfors (1883). 
"
35,1906,GEG,CM,HL,,15," Dr. Axel 0. Heikel in Helsingfors (1887). 
"
36,1906,GEG,CM,HL,,16," D. S. Ilowaiski, Prof. in Moskau (1881). 
"
37,1906,GEG,CM,HL,,17," Mag. Edwin Johannson, Director der Mineralwasseranstalt in Riga (1883). 
"
38,1906,GEG,CM,HL,,18," Dr. Oskar Lieven, Director der Cementfabrik in Noworos-siisk (1894). 
"
39,1906,GEG,CM,HL,,19," Konstantin M e tt i g, Inspector an der Realschule in Riga (1887). XXIX 
"
40,1906,GEG,CM,HL,,20," Wirkl. Staatsrat Anton v. Mierzinski, in Warschau (1876). 
"
41,1906,GEG,CM,HL,,21," Dr. Wilhelm Neumann, Architekt in Riga (1890). 
"
42,1906,GEG,CM,HL,,22," Dr. W. Radi off, Akademiker in St. Petersburg (1860). 
"
43,1906,GEG,CM,HL,,23," Alex. Rosenberg, Prof emer. in Dorpat (1896). 
"
