,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,0,22
2,1872,NVR,0,34
3,1874,NVR,0,8
4,1875,NVR,0,10
5,1877,NVR,1,4
6,1880,NVR,0,14
7,1881,NVR,0,11
8,1882,NVR,0,7
9,1883,NVR,0,14
10,1884,NVR,0,5
11,1885,NVR,0,17
12,1886,NVR,0,6
13,1887,NVR,0,6
14,1888,NVR,0,2
15,1889,NVR,0,6
16,1890,NVR,0,1
17,1891,NVR,0,2
18,1892,NVR,0,9
19,1893,NVR,0,0
20,1894,NVR,0,14
21,1895,NVR,0,10
22,1897,NVR,0,3
23,1898,NVR,0,3
24,1899,NVR,0,11
25,1900,NVR,0,14
26,1901,NVR,0,2
27,1902,NVR,0,0
28,1903,NVR,0,2
29,1904,NVR,0,22
30,1905,NVR,0,41
31,1906,NVR,0,13
32,1907,NVR,0,16
33,1908,NVR,0,7
34,1909,NVR,0,23
35,1910,NVR,0,9
36,1911,NVR,0,11
37,1912,NVR,0,36
38,1913,NVR,0,14
39,1915,NVR,0,13
40,1924,NVR,0,11
