,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,331,396
2,1872,NVR,450,580
3,1874,NVR,320,390
4,1875,NVR,241,358
5,1877,NVR,455,559
6,1880,NVR,447,693
7,1881,NVR,99,255
8,1882,NVR,49,228
9,1883,NVR,77,261
10,1884,NVR,74,341
11,1885,NVR,74,265
12,1886,NVR,70,240
13,1887,NVR,61,230
14,1888,NVR,88,251
15,1889,NVR,43,246
16,1890,NVR,19,133
17,1891,NVR,86,172
18,1892,NVR,33,142
19,1893,NVR,56,161
20,1894,NVR,94,176
21,1895,NVR,232,289
22,1897,NVR,192,236
23,1898,NVR,192,236
24,1899,NVR,103,133
25,1900,NVR,229,261
26,1901,NVR,111,132
27,1902,NVR,200,212
28,1903,NVR,26,43
29,1904,NVR,193,235
30,1905,NVR,385,518
31,1906,NVR,181,277
32,1907,NVR,383,445
33,1908,NVR,222,276
34,1909,NVR,233,341
35,1910,NVR,235,300
36,1911,NVR,326,444
37,1912,NVR,153,275
38,1913,NVR,167,296
39,1915,NVR,153,247
40,1924,NVR,338,457
