Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Place,Place_Reconciled,Place_Qid,Place_Coordinates,Country,Occupation,Original_LINE
23,1873,GEG,OM,HL,IN,2,Dr.,Theodor Beise,Theodor Beise,,,,,Tartu,Q13972,"58.38,26.7225",,dimitt. Syndicus der Universität Staatsrath," Dr. Theodor Beise,| dimitt. Syndicus der Universität, Staatsrath. 
"
24,1873,GEG,OM,HL,IN,3,Dr.,Alexander Brückner,Alexander Brückner,,,,,Tartu,Q13972,"58.38,26.7225",,Professor der Geschichte Rußlands," Dr. Alexander Brückner.| Professor der Ge-schichte Rußlands. 
"
25,1873,GEG,OM,HL,IN,4,,G. Blumberg,"Blumberg, Gustav",,,,,Tartu,Q13972,"58.38,26.7225",,Gymnasiallehrer," G. Blumberg,| Gymnasiallehrer. 
"
26,1873,GEG,OM,HL,IN,5,,Christoph Serens,Christoph Serens,,,,,Tartu,Q13972,"58.38,26.7225",,stud. jur.," Christoph Serens,| stud. jur. 
"
27,1873,GEG,OM,HL,IN,6,,Hermann Baron Bruiningk,Hermann Baron Bruiningk,,,,,Tartu,Q13972,"58.38,26.7225",,," Hermann Baron Bruiningk.| 
"
28,1873,GEG,OM,HL,IN,7,Dr.,B. Brunner,B. Brunner,,,,,Tartu,Q13972,"58.38,26.7225",,Secretär der Kais. livl. ökon. Societät," Dr. B. Brunner,| Secretär der Kais. livl. ökon. Societät. 
"
29,1873,GEG,OM,HL,IN,8,,Alexander Buchholtz,Alexander Buchholtz,,,,,Tartu,Q13972,"58.38,26.7225",,stud. jur.," Alexander Buchholtz,| stud. jur. 
"
30,1873,GEG,OM,HL,IN,9,,Constantin Baron Budberg,Constantin Baron Budberg,,,,,Tartu,Q13972,"58.38,26.7225",,dim. Oberst.," Constantin Baron Budberg,| dim. Oberst. 
"
31,1873,GEG,OM,HL,IN,10,Dr.,Th. Clausen,Th. Clausen,,,,,Tartu,Q13972,"58.38,26.7225",,Prof. emerit. d. Astronomie," Dr. Th. Clausen,| Prof.emerit. d. Astronomie. 
"
32,1873,GEG,OM,HL,IN,11,,H. Clemenz,H. Clemenz,,,,,Tartu,Q13972,"58.38,26.7225",,stellv. Lector d. lettischen Sprache," H. Clemenz,| stellv.Leetor d. lettischen Sprache. 
"
33,1873,GEG,OM,HL,IN,12,,A. von Dehn,August von Dehn,,,,,Tartu,Q13972,"58.38,26.7225",,Landgerichtssecretär," A. v. Dehn,| Landgerichtssecretär. 
"
34,1873,GEG,OM,HL,IN,13,,A. Dieckhoff,A. Dieckhoff,,,,,Tartu,Q13972,"58.38,26.7225",,stud. oec. pol.," A. Dieckhoff,| stud. oec. pol. 
"
35,1873,GEG,OM,HL,IN,14,,O. Dieckhoff,O. Dieckhoff,,,,,Tartu,Q13972,"58.38,26.7225",,stud. jur.," O. Dieckhoff,| stud. jur. 
"
36,1873,GEG,OM,HL,IN,15,Dr.,G. Dragendorff,Georg Dragendorff,,,,,Tartu,Q13972,"58.38,26.7225",,Professor der Pharmacie," Dr. G. D ragen Dorff,| Professor der Phar-macie. 
"
37,1873,GEG,OM,HL,IN,16,Dr.,I. Engelmann,"Engelmann, Ines",,,,,Tartu,Q13972,"58.38,26.7225",,Professor des russischen Rechts," Dr. I. Engelmann,| Professor des russischen Rechts. 
"
38,1873,GEG,OM,HL,IN,17,Dr.,M. von Engelhardt,M. von Engelhardt,,,,,Tartu,Q13972,"58.38,26.7225",,Professor der Wotischen Theologie," Dr. M. v. Engelhardt,| Professor der Wo-tischen Theologie. 
"
39,1873,GEG,OM,HL,IN,18,,W. Eisenschmidt,W. Eisenschmidt,,,,,Tartu,Q13972,"58.38,26.7225",,Pastor an der St. Petri Gemeinde," W. Eisenschmidt,| Pastor an der St. Petri-Gemeinde. 
"
40,1873,GEG,OM,HL,IN,19,,G. Elster,G. Elster,,,,,Tartu,Q13972,"58.38,26.7225",,stud. hist.," G. Elster,| stud. bist. 
